Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
1996,28,3.66055658263,40.6494869784,282.353345723,40.6494869784,582.590779979,1399.4300906,306.481032683,40.6494869784,1064.04446059,422.903179929,34,70.7883547289,11.6387649591,196.885391109,11.6387649591,231.305952018,640.293531339,1591.90864846,11.6387649591,368.626608123,966.023260821
1973,0,,,,,,,,,,,22,2.5638859954,22.5684015261,98.3345651114,22.5684015261,21.4271134082,256.511461709,40.5525767035,22.5684015261,143.186577288,1673.38376898
2002,28,689.066457487,0.0483335597143,277.644753493,0.0483335597143,1589.99768256,943.108727524,298.902023702,0.0483335597143,1055.84920911,62.1623381772,30,613.331189635,0.767890390507,66.0972972735,0.767890390507,512.28158401,173.90421496,1097.88783841,0.767890390507,409.21333293,197.93087387
1977,0,,,,,,,,,,,25,40.8749943609,9.71393438599,299.747552086,9.71393438599,18.882846607,526.957450617,6.68717984724,9.71393438599,49.7647880264,2126.42672089
2000,30,125.021283779,288.356594144,44.5681153706,288.356594144,429.527920306,379.297366189,79.9767274439,288.356594144,398.597735927,26.8577374791,31,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
2001,30,260.698372767,8.98159868504,291.682578846,8.98159868504,2125.01808493,674.286489661,302.111235854,8.98159868504,646.319408056,233.522369422,26,306.576407752,80.4695715384,423.246950057,80.4695715384,205.97313736,300.169185445,1277.5043213,80.4695715384,127.110373633,486.455783893
2006,36,403.780663697,129.237189776,498.354103793,129.237189776,1430.34189364,433.186416868,172.682733684,129.237189776,640.425972634,59.8055375077,36,1248.72395147,0.318681356978,558.294328373,0.318681356978,434.700585039,245.534252017,1628.85510888,0.318681356978,981.544073912,264.041658498
2007,45,1139.2713517,18.1320641196,846.825334326,18.1320641196,1192.59692313,551.490800286,212.482359587,18.1320641196,1344.76470747,15.1667778498,39,1432.55074747,30.7293239578,296.968348347,30.7293239578,333.237202214,156.033908839,1132.48313157,30.7293239578,532.64489346,229.761747208
2004,26,776.819856857,0.0483335596962,497.344063574,0.0483335596962,1503.55261791,1180.13430298,172.898594189,0.0483335596962,709.034830972,178.207914582,29,1493.96694591,0.0483335596828,461.175387879,0.0483335596828,259.515672999,142.209285588,1789.72833446,0.0483335596828,311.279859655,479.118020841
1998,31,49.1813239617,0.0483335597161,289.60038408,0.0483335597161,1143.38596566,1901.80571756,328.05527664,0.0483335597161,380.453589687,239.791561198,32,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
2008,34,1162.84120502,53.7901657286,1060.03602315,53.7901657286,1263.35095977,734.453315874,264.92813489,53.7901657286,764.220022885,20.9302356374,38,1577.10073359,16.2983552871,469.345864193,16.2983552871,409.831021702,161.300732276,1577.14843795,16.2983552871,508.863125885,177.972038338
2009,41,1010.39013202,8.96783164406,568.48723156,8.96783164406,1715.44941704,385.462254031,294.549527178,8.96783164406,1492.78388118,144.920812289,39,1989.52097079,7.88363256321,982.464826036,7.88363256321,607.804926734,239.267362489,1098.87353656,7.88363256321,308.029978006,64.1785296022
